hazard_id,road_id,road_name,latitude,longitude,hazard_type,severity,depth_cm,area_sqm,confidence_score,reported_at,repair_cost_inr,is_repaired
HZ_0220,RD_036,Road Segment 36,13.14991,80.329962,speed_breaker,medium,,1.38,0.92,2024-08-22 00:00,132,1
HZ_0221,RD_018,LB Road Adyar,13.002426,80.253141,road_collapse,low,,3.96,0.96,2024-08-08 09:00,189,0
HZ_0222,RD_046,Road Segment 46,12.896051,80.215357,road_crack,high,,2.24,0.86,2024-04-01 22:00,262,0
HZ_0223,RD_022,Road Segment 22,12.899062,80.139387,pothole,high,8.8,1.99,0.85,2024-03-14 00:00,418,1
HZ_0224,RD_076,Road Segment 76,13.087996,80.196724,road_crack,medium,,1.29,0.9,2024-02-04 20:00,148,0
HZ_0225,RD_074,Road Segment 74,12.986293,80.389315,debris,low,,2.94,0.65,2024-10-09 19:00,6,0
HZ_0226,RD_060,Road Segment 60,12.899639,80.383404,pothole,low,21.5,3.46,0.89,2024-04-12 01:00,102,0
HZ_0227,RD_030,Road Segment 30,13.095671,80.108242,debris,low,,1.01,0.86,2024-12-24 09:00,58,0
HZ_0228,RD_048,Road Segment 48,13.16168,80.184977,road_crack,medium,,2.94,0.73,2024-12-05 21:00,197,0
HZ_0229,RD_075,Road Segment 75,12.870116,80.133802,road_crack,high,,0.33,0.94,2024-05-10 10:00,262,1
HZ_0230,RD_015,Arcot Road,13.053378,80.213108,speed_breaker,low,,1.75,0.62,2024-01-06 03:00,67,0
HZ_0231,RD_014,Nungambakkam High Road,13.061186,80.244168,pothole,low,8.5,3.21,0.6,2024-02-20 08:00,143,0
HZ_0232,RD_079,Road Segment 79,12.930272,80.174094,speed_breaker,low,,3.34,0.67,2024-06-13 18:00,68,1
HZ_0233,RD_058,Road Segment 58,13.094858,80.117025,speed_breaker,low,,2.29,0.85,2024-08-23 03:00,76,0
HZ_0234,RD_006,Rajiv Gandhi Salai (IT Corridor),12.950857,80.237822,pothole,medium,8.8,1.57,0.61,2024-07-23 09:00,216,0
HZ_0235,RD_015,Arcot Road,13.049363,80.211703,road_collapse,low,,2.4,0.91,2024-05-14 08:00,224,0
HZ_0236,RD_013,Cathedral Road,13.062554,80.255586,pothole,high,6.7,2.86,0.81,2024-04-20 00:00,449,0
HZ_0237,RD_080,Road Segment 80,12.981104,80.141079,road_crack,medium,,0.88,0.62,2024-09-14 20:00,133,0
HZ_0238,RD_074,Road Segment 74,12.9941,80.378684,pothole,medium,17.2,2.73,0.86,2024-06-24 17:00,231,0
HZ_0239,RD_031,Road Segment 31,13.156301,80.358249,pothole,low,20.3,3.27,0.97,2024-07-15 10:00,108,0
HZ_0240,RD_044,Road Segment 44,13.191324,80.363228,speed_breaker,medium,,2.82,0.89,2024-03-30 10:00,93,0
HZ_0241,RD_079,Road Segment 79,12.924774,80.18844,pothole,medium,3.7,3.86,0.9,2024-05-03 05:00,239,1
HZ_0242,RD_038,Road Segment 38,13.028793,80.365174,pothole,medium,3.1,0.98,0.77,2024-10-23 15:00,197,0
HZ_0243,RD_068,Road Segment 68,12.991284,80.243112,waterlogging,low,,3.86,0.68,2024-11-10 01:00,114,1
HZ_0244,RD_047,Road Segment 47,13.159771,80.184573,road_collapse,medium,,0.43,0.98,2024-10-30 20:00,533,1
HZ_0245,RD_071,Road Segment 71,12.954737,80.38759,pothole,medium,19.6,3.67,0.61,2024-01-15 03:00,194,0
HZ_0246,RD_022,Road Segment 22,12.889121,80.125215,waterlogging,high,,0.95,0.78,2024-07-06 20:00,398,0
HZ_0247,RD_046,Road Segment 46,12.887921,80.233633,debris,medium,,1.14,0.72,2024-11-06 23:00,103,0
HZ_0248,RD_037,Road Segment 37,12.984679,80.121974,waterlogging,high,,2.39,0.88,2024-07-07 03:00,390,1
HZ_0249,RD_046,Road Segment 46,12.886267,80.228773,pothole,high,6.1,3.12,0.66,2024-06-21 05:00,439,1
HZ_0250,RD_057,Road Segment 57,13.049598,80.164734,road_collapse,low,,1.68,0.63,2024-10-28 11:00,200,0
HZ_0251,RD_073,Road Segment 73,12.883793,80.159234,road_crack,high,,3.86,0.94,2024-02-04 00:00,292,0
HZ_0252,RD_079,Road Segment 79,12.928041,80.170923,waterlogging,low,,2.08,0.61,2024-11-28 22:00,120,0
HZ_0253,RD_067,Road Segment 67,13.199839,80.34806,pothole,high,3.2,0.53,0.82,2024-02-29 09:00,446,0
HZ_0254,RD_020,Kamarajar Salai Marina,13.05451,80.285166,road_crack,low,,2.23,0.65,2024-10-03 04:00,62,1
HZ_0255,RD_039,Road Segment 39,12.901305,80.320642,waterlogging,medium,,0.71,0.85,2024-12-20 00:00,183,0
HZ_0256,RD_036,Road Segment 36,13.151486,80.346935,speed_breaker,low,,0.42,0.67,2024-08-13 23:00,38,0
HZ_0257,RD_010,Outer Ring Road,12.995728,80.144219,waterlogging,low,,3.22,0.68,2024-08-06 19:00,68,0
HZ_0258,RD_001,Anna Salai (Mount Road),13.063277,80.24774,pothole,medium,14.7,2.53,0.68,2024-04-09 18:00,228,0
HZ_0259,RD_025,Road Segment 25,13.057018,80.348829,debris,high,,0.44,0.86,2024-05-03 05:00,131,0
HZ_0260,RD_045,Road Segment 45,12.899365,80.370229,speed_breaker,low,,2.44,0.81,2024-07-07 00:00,23,1
HZ_0261,RD_074,Road Segment 74,12.997903,80.380346,pothole,low,21.7,2.8,0.96,2024-03-02 13:00,141,1
HZ_0262,RD_035,Road Segment 35,12.954109,80.378485,debris,medium,,0.95,0.63,2024-07-14 17:00,81,0
HZ_0263,RD_024,Road Segment 24,12.854673,80.151893,pothole,low,2.3,1.53,0.62,2024-02-28 20:00,127,0
HZ_0264,RD_005,NH-16 (Chennai-Kolkata Highway),13.155547,80.28072,pothole,medium,14.3,2.64,0.77,2024-07-25 23:00,223,1
HZ_0265,RD_001,Anna Salai (Mount Road),13.071253,80.261027,pothole,low,11.8,2.92,0.66,2024-04-06 14:00,81,0
HZ_0266,RD_035,Road Segment 35,12.939913,80.382527,pothole,low,14.3,3.25,0.69,2024-01-02 03:00,138,0
HZ_0267,RD_080,Road Segment 80,12.973832,80.142568,pothole,medium,5.1,3.62,0.62,2024-03-16 09:00,212,0
HZ_0268,RD_067,Road Segment 67,13.200777,80.357555,debris,high,,1.1,0.92,2024-04-10 00:00,157,0
HZ_0269,RD_073,Road Segment 73,12.882835,80.158335,debris,low,,1.9,0.96,2024-04-01 07:00,32,0
HZ_0270,RD_070,Road Segment 70,12.995391,80.390314,waterlogging,low,,2.16,0.7,2024-01-30 02:00,104,0
HZ_0271,RD_078,Road Segment 78,13.013965,80.401717,speed_breaker,medium,,2.46,0.94,2024-11-05 05:00,117,0
HZ_0272,RD_065,Road Segment 65,13.006428,80.228352,road_crack,high,,3.42,0.96,2024-08-31 12:00,284,0
HZ_0273,RD_001,Anna Salai (Mount Road),13.061431,80.253044,waterlogging,high,,1.64,0.94,2024-08-12 23:00,387,1
HZ_0274,RD_059,Road Segment 59,12.873451,80.165179,debris,low,,1.82,0.81,2024-09-14 12:00,28,0
HZ_0275,RD_011,Velachery Main Road,12.982583,80.211309,waterlogging,low,,2.36,0.7,2024-06-18 19:00,79,1
HZ_0276,RD_022,Road Segment 22,12.902135,80.127702,speed_breaker,low,,0.59,0.72,2024-09-05 20:00,58,0
HZ_0277,RD_010,Outer Ring Road,12.993125,80.142683,speed_breaker,low,,3.77,0.71,2024-03-20 23:00,17,1
HZ_0278,RD_029,Road Segment 29,13.045256,80.347346,pothole,low,7.6,1.2,0.95,2024-11-19 05:00,137,0
HZ_0279,RD_063,Road Segment 63,13.19259,80.134476,pothole,low,21.8,0.88,0.76,2024-02-01 21:00,92,0
HZ_0280,RD_080,Road Segment 80,12.975884,80.153255,road_crack,medium,,2.64,0.66,2024-11-26 01:00,200,0
HZ_0281,RD_046,Road Segment 46,12.893283,80.226543,pothole,medium,6.4,3.2,0.97,2024-07-12 05:00,222,0
HZ_0282,RD_080,Road Segment 80,12.972275,80.148849,road_crack,medium,,0.68,0.93,2024-02-24 13:00,154,0
HZ_0283,RD_048,Road Segment 48,13.144852,80.184191,pothole,medium,6.2,1.18,0.82,2024-04-14 17:00,217,0
HZ_0284,RD_024,Road Segment 24,12.856374,80.163451,pothole,high,17.9,0.95,0.77,2024-01-31 10:00,412,0
HZ_0285,RD_079,Road Segment 79,12.924061,80.18343,waterlogging,low,,1.58,0.83,2024-03-23 15:00,96,0
HZ_0286,RD_014,Nungambakkam High Road,13.062436,80.245787,pothole,medium,14.3,1.61,0.86,2024-08-10 15:00,218,0
HZ_0287,RD_045,Road Segment 45,12.891269,80.361849,pothole,high,2.0,3.92,0.79,2024-02-25 01:00,422,0
HZ_0288,RD_027,Road Segment 27,12.882368,80.117838,pothole,medium,17.6,1.92,0.98,2024-05-28 21:00,194,1
HZ_0289,RD_012,Sardar Patel Road,13.013152,80.217757,speed_breaker,low,,3.69,0.97,2024-08-10 01:00,59,1
HZ_0290,RD_031,Road Segment 31,13.141554,80.365185,speed_breaker,low,,3.41,0.73,2024-07-07 12:00,57,0
HZ_0291,RD_041,Road Segment 41,13.023093,80.130723,pothole,low,13.3,2.44,0.85,2024-08-19 15:00,95,1
HZ_0292,RD_029,Road Segment 29,13.047701,80.349586,debris,medium,,0.42,0.75,2024-12-31 01:00,84,0
HZ_0293,RD_036,Road Segment 36,13.141178,80.328878,pothole,medium,21.8,0.39,0.62,2024-07-21 02:00,249,1
HZ_0294,RD_010,Outer Ring Road,13.00026,80.160142,pothole,low,19.4,2.82,0.62,2024-01-14 08:00,139,0
HZ_0295,RD_040,Road Segment 40,12.993798,80.26922,debris,high,,1.49,0.91,2024-05-11 20:00,147,0
HZ_0296,RD_039,Road Segment 39,12.901595,80.326289,road_crack,medium,,0.81,0.68,2024-02-07 19:00,146,1
HZ_0297,RD_072,Road Segment 72,12.857231,80.275111,pothole,low,15.0,2.84,0.79,2024-06-16 00:00,143,0
HZ_0298,RD_016,Patel Road T Nagar,13.035577,80.23798,pothole,low,17.3,3.28,0.99,2024-10-26 10:00,108,1
HZ_0299,RD_022,Road Segment 22,12.901809,80.130949,road_collapse,low,,0.83,0.7,2024-09-28 22:00,230,0
HZ_0300,RD_036,Road Segment 36,13.139426,80.335218,pothole,medium,15.3,1.98,0.88,2024-08-17 03:00,240,1
HZ_0301,RD_009,Inner Ring Road,13.020111,80.205028,debris,medium,,0.79,0.67,2024-08-08 23:00,118,0
HZ_0302,RD_013,Cathedral Road,13.052642,80.247405,pothole,low,14.0,0.36,0.63,2024-11-04 16:00,89,0
HZ_0303,RD_002,GST Road,12.965465,80.19159,debris,low,,2.76,0.85,2024-07-07 00:00,61,1
HZ_0304,RD_004,ECR (East Coast Road),12.846951,80.248623,road_crack,medium,,3.41,0.89,2024-11-08 12:00,186,0
HZ_0305,RD_037,Road Segment 37,12.990168,80.129686,debris,medium,,2.41,0.75,2024-05-07 09:00,111,0
HZ_0306,RD_040,Road Segment 40,13.003402,80.271652,road_crack,high,,0.62,0.78,2024-06-02 12:00,276,0
HZ_0307,RD_007,Poonamallee High Road,13.058287,80.155458,speed_breaker,low,,2.15,0.95,2024-03-31 17:00,51,1
HZ_0308,RD_076,Road Segment 76,13.080685,80.191219,speed_breaker,medium,,0.26,0.85,2024-12-29 18:00,98,1
HZ_0309,RD_032,Road Segment 32,13.073841,80.205256,road_crack,low,,1.81,0.67,2024-02-12 18:00,62,0
HZ_0310,RD_026,Road Segment 26,12.995811,80.180262,road_crack,low,,0.54,0.98,2024-10-13 00:00,74,1
HZ_0311,RD_025,Road Segment 25,13.069434,80.341764,speed_breaker,medium,,3.24,0.96,2024-12-24 05:00,93,1
HZ_0312,RD_029,Road Segment 29,13.043986,80.340204,road_crack,low,,1.75,0.98,2024-12-14 00:00,97,0
HZ_0313,RD_022,Road Segment 22,12.900104,80.138592,road_crack,medium,,3.64,0.89,2024-10-24 14:00,167,0
HZ_0314,RD_009,Inner Ring Road,13.022484,80.20186,pothole,low,1.7,2.95,0.73,2024-03-23 16:00,124,1
HZ_0315,RD_044,Road Segment 44,13.193387,80.360074,debris,medium,,2.37,0.63,2024-03-12 10:00,64,1
HZ_0316,RD_022,Road Segment 22,12.892408,80.140336,pothole,medium,19.1,1.93,0.98,2024-01-16 08:00,184,0
HZ_0317,RD_019,100 Feet Road Vadapalani,13.051307,80.198077,pothole,medium,22.3,3.55,0.65,2024-08-24 03:00,216,1
HZ_0318,RD_009,Inner Ring Road,13.016381,80.204458,debris,medium,,2.86,0.9,2024-05-28 07:00,89,0
HZ_0319,RD_027,Road Segment 27,12.886397,80.134431,pothole,low,15.5,2.7,0.61,2024-01-20 11:00,122,0
HZ_0320,RD_020,Kamarajar Salai Marina,13.054111,80.269303,pothole,high,5.0,2.43,0.77,2024-05-11 23:00,427,0
HZ_0321,RD_006,Rajiv Gandhi Salai (IT Corridor),12.956048,80.233802,road_crack,low,,1.53,0.86,2024-10-09 04:00,39,1
HZ_0322,RD_025,Road Segment 25,13.055161,80.33946,speed_breaker,high,,3.07,0.81,2024-08-18 04:00,184,0
HZ_0323,RD_046,Road Segment 46,12.883906,80.231388,debris,high,,3.12,0.68,2024-07-16 00:00,155,1
HZ_0324,RD_065,Road Segment 65,13.006333,80.225337,speed_breaker,high,,3.89,0.83,2024-04-10 08:00,248,0
HZ_0325,RD_065,Road Segment 65,13.011812,80.231082,pothole,high,4.3,1.44,0.82,2024-08-02 10:00,414,0
HZ_0326,RD_008,Grand Southern Trunk Road,12.976869,80.116757,speed_breaker,medium,,1.4,0.72,2024-08-18 21:00,145,0
HZ_0327,RD_042,Road Segment 42,13.064733,80.346675,speed_breaker,medium,,3.37,0.86,2024-04-23 20:00,101,0
HZ_0328,RD_008,Grand Southern Trunk Road,12.985709,80.104588,pothole,medium,17.3,2.16,0.62,2024-01-09 18:00,188,0
HZ_0329,RD_049,Road Segment 49,13.116008,80.256866,pothole,medium,15.9,2.1,0.86,2024-07-02 21:00,188,1
HZ_0330,RD_024,Road Segment 24,12.861353,80.172894,road_crack,medium,,0.84,0.76,2024-08-28 08:00,197,1
HZ_0331,RD_035,Road Segment 35,12.945465,80.370526,speed_breaker,medium,,3.36,0.96,2024-04-09 21:00,88,0
HZ_0332,RD_072,Road Segment 72,12.87049,80.277741,waterlogging,medium,,0.47,0.69,2024-10-08 16:00,209,0
HZ_0333,RD_008,Grand Southern Trunk Road,12.985912,80.116168,pothole,medium,5.3,1.28,0.85,2024-09-14 20:00,198,0
HZ_0334,RD_074,Road Segment 74,12.988863,80.394399,road_collapse,low,,2.39,0.86,2024-08-20 18:00,184,0
HZ_0335,RD_045,Road Segment 45,12.891287,80.364289,oil_spill,low,,0.71,0.77,2024-07-18 06:00,31,1
HZ_0336,RD_009,Inner Ring Road,13.021211,80.209226,pothole,high,12.7,1.4,0.62,2024-12-28 22:00,383,0
HZ_0337,RD_058,Road Segment 58,13.102663,80.116106,pothole,medium,4.4,0.97,0.7,2024-12-31 00:00,247,1
HZ_0338,RD_002,GST Road,12.958356,80.186989,speed_breaker,medium,,3.3,0.7,2024-12-19 05:00,120,0
HZ_0339,RD_063,Road Segment 63,13.1915,80.126902,waterlogging,medium,,1.09,0.87,2024-11-27 21:00,249,1
HZ_0340,RD_010,Outer Ring Road,13.011499,80.146427,pothole,medium,6.1,3.4,0.73,2024-07-22 15:00,207,1
HZ_0341,RD_057,Road Segment 57,13.056678,80.167058,debris,high,,3.13,0.87,2024-07-25 14:00,165,0
HZ_0342,RD_075,Road Segment 75,12.861093,80.123425,debris,high,,1.52,0.63,2024-09-01 07:00,194,1
HZ_0343,RD_015,Arcot Road,13.044049,80.213175,pothole,medium,21.1,0.41,0.71,2024-06-16 15:00,211,0
HZ_0344,RD_019,100 Feet Road Vadapalani,13.052401,80.201387,speed_breaker,medium,,0.9,0.7,2024-05-26 20:00,102,0
HZ_0345,RD_077,Road Segment 77,13.091312,80.195288,road_crack,medium,,3.93,0.76,2024-01-03 09:00,162,0
HZ_0346,RD_064,Road Segment 64,13.126609,80.134122,debris,high,,1.14,0.75,2024-04-18 22:00,151,0
HZ_0347,RD_016,Patel Road T Nagar,13.041474,80.235776,speed_breaker,high,,2.52,0.62,2024-11-15 05:00,222,0
HZ_0348,RD_014,Nungambakkam High Road,13.05699,80.242625,pothole,low,24.6,3.97,0.65,2024-03-12 11:00,124,0
HZ_0349,RD_012,Sardar Patel Road,13.000708,80.211034,road_collapse,high,,0.84,0.64,2024-12-27 23:00,810,0
HZ_0350,RD_037,Road Segment 37,12.987791,80.118976,oil_spill,medium,,0.31,0.9,2024-12-08 04:00,175,0
HZ_0351,RD_009,Inner Ring Road,13.025279,80.214905,pothole,medium,22.4,3.07,0.78,2024-12-29 12:00,245,0
HZ_0352,RD_040,Road Segment 40,13.000775,80.278343,road_crack,low,,0.74,0.96,2024-06-07 11:00,76,0
HZ_0353,RD_016,Patel Road T Nagar,13.037437,80.232578,road_crack,medium,,0.38,0.75,2024-03-03 10:00,178,0
HZ_0354,RD_035,Road Segment 35,12.945567,80.383184,pothole,low,19.6,2.49,0.85,2024-12-11 13:00,116,0
HZ_0355,RD_003,OMR (Old Mahabalipuram Road),12.915914,80.231418,pothole,low,4.5,1.01,0.9,2024-08-03 22:00,92,0
HZ_0356,RD_026,Road Segment 26,12.998676,80.180237,speed_breaker,low,,3.19,0.93,2024-03-24 23:00,23,0
HZ_0357,RD_001,Anna Salai (Mount Road),13.065452,80.24984,road_crack,high,,3.61,0.75,2024-04-27 19:00,247,0
HZ_0358,RD_065,Road Segment 65,12.998961,80.224213,road_crack,medium,,1.17,0.9,2024-12-02 11:00,198,0
HZ_0359,RD_010,Outer Ring Road,13.006424,80.152451,debris,high,,0.18,0.99,2024-03-24 18:00,195,0
HZ_0360,RD_072,Road Segment 72,12.873697,80.280446,pothole,low,5.7,0.61,0.76,2024-02-01 13:00,81,1
HZ_0361,RD_073,Road Segment 73,12.876189,80.1503,road_crack,medium,,0.9,0.99,2024-06-22 07:00,199,1
HZ_0362,RD_003,OMR (Old Mahabalipuram Road),12.918696,80.22911,road_crack,medium,,3.33,0.67,2024-08-06 23:00,131,0
HZ_0363,RD_059,Road Segment 59,12.87779,80.166103,oil_spill,high,,0.52,0.87,2024-08-07 09:00,283,0
HZ_0364,RD_037,Road Segment 37,12.991646,80.122352,pothole,low,12.7,3.68,0.94,2024-07-31 09:00,140,0
HZ_0365,RD_062,Road Segment 62,12.978131,80.219752,pothole,low,15.8,0.82,0.97,2024-12-16 05:00,109,1
HZ_0366,RD_004,ECR (East Coast Road),12.851741,80.251014,pothole,medium,19.5,1.23,0.84,2024-07-25 06:00,250,1
HZ_0367,RD_014,Nungambakkam High Road,13.051966,80.241818,pothole,low,8.5,1.6,0.94,2024-02-19 18:00,96,0
HZ_0368,RD_059,Road Segment 59,12.882796,80.158578,debris,medium,,1.89,0.78,2024-10-11 10:00,65,0
HZ_0369,RD_060,Road Segment 60,12.888425,80.38069,pothole,medium,23.0,1.99,0.94,2024-03-29 02:00,206,0
HZ_0370,RD_051,Road Segment 51,12.874395,80.373235,pothole,low,7.7,3.95,0.98,2024-09-01 09:00,132,0
HZ_0371,RD_038,Road Segment 38,13.027979,80.364851,waterlogging,high,,0.71,0.95,2024-04-29 12:00,369,0
HZ_0372,RD_016,Patel Road T Nagar,13.04668,80.225432,pothole,medium,15.0,1.51,0.77,2024-07-16 14:00,223,0
HZ_0373,RD_003,OMR (Old Mahabalipuram Road),12.923446,80.221953,pothole,low,4.7,0.16,0.86,2024-05-30 16:00,95,1
HZ_0374,RD_059,Road Segment 59,12.870614,80.174117,road_collapse,low,,2.38,0.86,2024-04-04 03:00,205,1
HZ_0375,RD_024,Road Segment 24,12.855511,80.149796,road_collapse,high,,3.33,0.79,2024-02-06 19:00,809,1
HZ_0376,RD_060,Road Segment 60,12.893223,80.380028,pothole,medium,8.3,2.41,0.81,2024-10-28 03:00,180,0
HZ_0377,RD_041,Road Segment 41,13.028383,80.127015,pothole,medium,4.0,0.33,0.81,2024-03-06 13:00,231,0
HZ_0378,RD_078,Road Segment 78,13.0142,80.40337,road_collapse,medium,,1.17,0.7,2024-08-19 07:00,542,0
HZ_0379,RD_017,Usman Road T Nagar,13.040297,80.238239,road_crack,medium,,1.27,0.65,2024-11-25 18:00,133,0
HZ_0380,RD_047,Road Segment 47,13.150469,80.176994,debris,high,,1.85,0.86,2024-03-09 01:00,177,0
HZ_0381,RD_005,NH-16 (Chennai-Kolkata Highway),13.14883,80.286539,pothole,medium,24.3,1.31,0.64,2024-08-14 16:00,183,0
HZ_0382,RD_028,Road Segment 28,13.133997,80.315438,pothole,low,14.3,3.74,0.79,2024-06-22 23:00,121,0
HZ_0383,RD_050,Road Segment 50,13.015621,80.128653,road_collapse,low,,0.21,0.65,2024-11-16 23:00,183,0
HZ_0384,RD_025,Road Segment 25,13.052811,80.343855,debris,high,,0.62,0.84,2024-07-05 11:00,135,1
HZ_0385,RD_034,Road Segment 34,12.909226,80.320102,waterlogging,low,,1.24,0.89,2024-12-17 10:00,66,0
HZ_0386,RD_002,GST Road,12.978171,80.191548,pothole,high,3.3,2.79,0.71,2024-01-20 00:00,442,1
HZ_0387,RD_069,Road Segment 69,12.98113,80.391755,waterlogging,low,,2.41,0.7,2024-09-23 11:00,64,0
HZ_0388,RD_006,Rajiv Gandhi Salai (IT Corridor),12.962465,80.244806,pothole,medium,19.1,2.27,0.88,2024-08-04 15:00,208,0
HZ_0389,RD_039,Road Segment 39,12.897436,80.322374,road_collapse,medium,,2.26,0.73,2024-04-16 19:00,484,1
HZ_0390,RD_019,100 Feet Road Vadapalani,13.05496,80.206577,road_crack,low,,2.58,0.86,2024-06-16 16:00,59,1
HZ_0391,RD_072,Road Segment 72,12.869607,80.275421,speed_breaker,medium,,0.79,0.94,2024-03-09 10:00,80,1
HZ_0392,RD_028,Road Segment 28,13.133127,80.329575,pothole,high,20.6,3.0,0.65,2024-03-28 20:00,416,1
HZ_0393,RD_011,Velachery Main Road,12.976198,80.228262,road_crack,low,,0.81,0.69,2024-12-29 04:00,43,0
HZ_0394,RD_038,Road Segment 38,13.026448,80.362776,pothole,low,1.0,0.81,0.85,2024-11-30 07:00,135,0
HZ_0395,RD_023,Road Segment 23,12.864674,80.118504,debris,high,,3.28,0.7,2024-01-09 11:00,140,0
HZ_0396,RD_041,Road Segment 41,13.024435,80.122766,waterlogging,low,,0.62,0.76,2024-04-30 19:00,117,1
HZ_0397,RD_009,Inner Ring Road,13.022565,80.201373,pothole,low,9.3,2.96,0.77,2024-12-16 23:00,86,0
HZ_0398,RD_078,Road Segment 78,13.010546,80.398789,road_crack,medium,,3.22,0.9,2024-06-24 16:00,134,0
HZ_0399,RD_024,Road Segment 24,12.858745,80.164337,road_crack,low,,3.63,0.67,2024-10-09 13:00,86,0
HZ_0400,RD_038,Road Segment 38,13.024382,80.369968,pothole,low,18.4,1.82,0.78,2024-05-02 14:00,107,0
HZ_0401,RD_028,Road Segment 28,13.135231,80.312798,pothole,high,23.0,2.83,0.93,2024-08-04 07:00,421,1
HZ_0402,RD_079,Road Segment 79,12.918605,80.179805,pothole,high,1.9,1.66,0.82,2024-01-19 08:00,437,0
HZ_0403,RD_073,Road Segment 73,12.876227,80.154184,pothole,low,12.7,3.0,0.67,2024-08-10 18:00,132,1
HZ_0404,RD_028,Road Segment 28,13.13138,80.323584,speed_breaker,low,,0.33,0.69,2024-03-10 08:00,24,0
HZ_0405,RD_077,Road Segment 77,13.087182,80.191231,road_collapse,medium,,1.06,0.97,2024-07-16 14:00,537,1
HZ_0406,RD_052,Road Segment 52,13.013613,80.127523,speed_breaker,medium,,3.59,0.68,2024-07-05 16:00,96,0
HZ_0407,RD_072,Road Segment 72,12.866332,80.266773,pothole,low,11.6,2.89,0.84,2024-05-19 12:00,119,0
HZ_0408,RD_008,Grand Southern Trunk Road,12.982929,80.10514,speed_breaker,high,,2.55,0.7,2024-01-05 22:00,208,0
HZ_0409,RD_069,Road Segment 69,12.981272,80.391634,debris,medium,,0.83,0.93,2024-12-26 20:00,117,0
HZ_0410,RD_073,Road Segment 73,12.883386,80.154904,pothole,medium,10.8,2.75,0.79,2024-08-30 04:00,188,0
HZ_0411,RD_047,Road Segment 47,13.158539,80.184358,pothole,low,22.3,1.08,0.83,2024-06-25 02:00,117,0
HZ_0412,RD_066,Road Segment 66,13.156363,80.123879,road_crack,medium,,1.53,0.94,2024-07-15 06:00,132,0
HZ_0413,RD_012,Sardar Patel Road,13.005762,80.223865,road_crack,high,,3.37,0.6,2024-06-30 13:00,259,1
HZ_0414,RD_065,Road Segment 65,13.011179,80.226235,road_crack,medium,,0.56,0.89,2024-06-05 09:00,147,1
HZ_0415,RD_028,Road Segment 28,13.143022,80.316704,pothole,low,17.4,0.19,0.9,2024-09-27 05:00,146,1
HZ_0416,RD_035,Road Segment 35,12.940056,80.37555,road_crack,low,,2.26,0.63,2024-04-21 09:00,61,1
HZ_0417,RD_058,Road Segment 58,13.095915,80.121354,road_crack,low,,1.69,0.87,2024-06-25 14:00,34,1
HZ_0418,RD_041,Road Segment 41,13.029289,80.131691,road_crack,low,,3.67,0.99,2024-07-13 16:00,70,1
HZ_0419,RD_008,Grand Southern Trunk Road,12.976069,80.108115,speed_breaker,low,,0.66,0.85,2024-11-23 15:00,33,1
HZ_0420,RD_080,Road Segment 80,12.986645,80.157102,pothole,medium,15.1,1.32,0.82,2024-07-08 11:00,226,0
HZ_0421,RD_003,OMR (Old Mahabalipuram Road),12.920574,80.226247,road_crack,low,,1.87,0.75,2024-10-12 20:00,30,0
HZ_0422,RD_014,Nungambakkam High Road,13.050852,80.23664,pothole,low,2.9,3.16,0.78,2024-12-15 20:00,146,1
HZ_0423,RD_074,Road Segment 74,12.989784,80.377835,waterlogging,medium,,3.69,0.65,2024-01-04 23:00,231,0
HZ_0424,RD_038,Road Segment 38,13.023685,80.355984,road_collapse,high,,2.44,0.93,2024-02-02 02:00,835,0
HZ_0425,RD_013,Cathedral Road,13.056744,80.255782,pothole,high,15.7,0.37,0.67,2024-03-16 04:00,432,0
HZ_0426,RD_058,Road Segment 58,13.095349,80.12393,pothole,high,11.2,2.87,0.73,2024-09-13 23:00,419,0
HZ_0427,RD_074,Road Segment 74,12.99296,80.381431,debris,high,,3.43,0.61,2024-08-24 18:00,182,0
HZ_0428,RD_026,Road Segment 26,12.991665,80.184307,pothole,low,9.5,3.26,0.76,2024-09-28 09:00,135,0
HZ_0429,RD_015,Arcot Road,13.059171,80.2133,speed_breaker,low,,1.51,0.86,2024-07-31 21:00,67,1
HZ_0430,RD_042,Road Segment 42,13.078356,80.324564,oil_spill,low,,1.86,0.9,2024-06-26 00:00,63,0
HZ_0431,RD_058,Road Segment 58,13.103396,80.111846,road_collapse,medium,,2.63,0.87,2024-11-18 09:00,504,0
HZ_0432,RD_069,Road Segment 69,12.988466,80.404125,speed_breaker,low,,1.68,0.8,2024-11-19 01:00,33,0
HZ_0433,RD_070,Road Segment 70,12.999447,80.395366,road_crack,high,,3.41,0.67,2024-01-30 20:00,292,1
HZ_0434,RD_049,Road Segment 49,13.103831,80.265214,pothole,low,20.4,2.89,0.86,2024-06-16 11:00,116,0
HZ_0435,RD_075,Road Segment 75,12.866655,80.129474,road_crack,medium,,2.47,0.8,2024-06-18 18:00,140,0
HZ_0436,RD_029,Road Segment 29,13.044836,80.350885,speed_breaker,low,,2.99,0.67,2024-09-12 00:00,42,0
HZ_0437,RD_017,Usman Road T Nagar,13.048613,80.243712,pothole,medium,6.1,0.42,0.68,2024-09-25 03:00,210,1
HZ_0438,RD_004,ECR (East Coast Road),12.849672,80.255458,debris,low,,3.69,0.61,2024-07-03 06:00,65,0
